pair,dataset,reference,q,threshold,N,n_R,changed,conditional_risk,p_value,CP_upper_0_999,accepted,coverage,calculation_identity
small,arc,C,0.05,0.00011157989501953125,448,18,1,0.05555555555555555,0.7735226201554786,0.41051258816456404,False,0.04017857142857143,new
small,arc,C,0.1,0.0004367232322692871,448,33,2,0.06060606060606061,0.7728068695765471,0.2962538778877184,False,0.07366071428571429,new
small,arc,C,0.15,0.0012328028678894043,448,50,7,0.14,0.9968116567777024,0.3453845517499862,False,0.11160714285714286,new
small,arc,C,0.2,0.002542734146118164,448,78,15,0.19230769230769232,0.9999986547298927,0.35974359963088226,False,0.17410714285714285,new
small,arc,C,0.25,0.004671871662139893,448,108,32,0.2962962962962963,1.0,0.44631556909506354,False,0.24107142857142858,new
small,arc,C,0.3,0.006744503974914551,448,128,44,0.34375,1.0,0.4829980364466217,False,0.2857142857142857,new
small,arc,C,0.35,0.009816467761993408,448,140,51,0.36428571428571427,1.0,0.49772539905437185,False,0.3125,new
small,arc,C,0.4,0.014494717121124268,448,163,60,0.36809815950920244,1.0,0.49148832066291076,False,0.3638392857142857,new
small,arc,C,0.45,0.02129054069519043,448,182,68,0.37362637362637363,1.0,0.4902791824569946,False,0.40625,new
small,arc,C,0.5,0.02968961000442505,448,206,84,0.4077669902912621,1.0,0.5176516221190508,False,0.45982142857142855,new
small,arc,C,0.55,0.04347580671310425,448,234,101,0.43162393162393164,1.0,0.5346399851486308,False,0.5223214285714286,new
small,arc,C,0.6,0.06113743782043457,448,263,119,0.4524714828897338,1.0,0.5494596184186791,False,0.5870535714285714,new
small,arc,C,0.65,0.0874868631362915,448,289,134,0.46366782006920415,1.0,0.5560433895166048,False,0.6450892857142857,new
small,arc,C,0.7,0.1193498969078064,448,315,152,0.48253968253968255,1.0,0.570751919069385,False,0.703125,new
small,arc,C,0.75,0.1509310007095337,448,341,174,0.5102639296187683,1.0,0.5945094731727893,False,0.7611607142857143,new
small,arc,C,0.8,0.22326356172561646,448,362,190,0.5248618784530387,1.0,0.6062733458708316,False,0.8080357142857143,new
small,arc,C,0.85,0.272111713886261,448,378,205,0.5423280423280423,1.0,0.6215059667441523,False,0.84375,new
small,arc,C,0.9,0.34250950813293457,448,392,214,0.5459183673469388,1.0,0.6235687179371507,False,0.875,new
small,arc,C,0.95,0.43796151876449585,448,422,235,0.556872037914692,1.0,0.6313876887711151,False,0.9419642857142857,new
small,arc,C,1.0,Infinity,448,448,254,0.5669642857142857,1.0,0.6389703440678307,False,1.0,new
